번호,등록번호,서명,저자,서명권차,총서명,저자기호,별치기호,분류기호,청구권차,복본기호,ISBN,딸림자료,출판사,출판년도,발행지,페이지,크기,가격,등록일
1,LHCGSL00001,12가지 인생의 법칙,조던 B. 피터슨 지음,,,피884ㅇ,,199.1,,,9791190538534,,Maven(메이븐),2023,,559 p,23 cm,18200,구매
2,LHCGSL00002,130층 나무 집,앤디 그리피스 글,,,그298ㅂ,아,843.6,,,9791165794811,,시공주니어,2020,,324 p,20 cm,14000,구매
3,LHCGSL00003,143층 나무 집,앤디 그리피스 글,,,그298ㅂ,아,843.6,,,9791165799052,,시공주니어,2022,,304 p,20 cm,14000,구매
4,LHCGSL00004,1cm 다이빙,태수,,,태56ㅇ,,818,,,9791190299060,,피카(FIKA),2020,,248 p,19 cm,13500,구매
5,LHCGSL00005,"(1일 1페이지,)세상에서 가장 짧은 교양 수업 365",데이비드 S. 키더,,,키24ㅅ,,990,,,9791190908061,,위즈덤하우스,2020,,380 p,22 cm,16000,구매
6,LHCGSL00006,40대 인생이 바뀌는 공부,이대형 지음,,,이23ㅅ,,325.211,,,9791165457303,,바른북스,2022,,224 p,21 cm,15000,구매
7,LHCGSL00007,40일간의 남미 일주,최민석 지음,,,최38ㅅ,,985.02,,,9788965749479,,해냄,2020,,420 p,19 cm,17000,구매
8,LHCGSL00008,7년의 밤,정유정 지음,,,정66ㅊ,,813.7,,,9788956604992,,은행나무,2011,,523 p,21 cm,14500,구매
9,LHCGSL00009,82년생 김지영,조남주 지음,,,조192ㅍ,,813.7,,,9788937473135,,민음사,2016,,190 p,20 cm,14000,구매
10,LHCGSL00010,H마트에서 울다,미셸 자우너 지음,,,자66ㅇ,,848,,,9788954683371,,문학동네,2022,,407 p,20 cm,16000,구매
11,LHCGSL00011,가녀장의 시대,이슬아 지음,,,이57ㄱ,,813.7,,,9788954688796,,이야기장수,2022,,316 p,20 cm,15000,구매
